,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
0,E0,11/08/17,Arsenal,Leicester,4,3,H,2,2,D,M Dean,27,6,10,3,9,12,9,4,0,1,0,0,1.53,4.5,6.5,9,5.9211,5.3421,1.5000,1.3684,15.6316,11.1316,1.9474,1.4737,1.3421,1.5789
1,E0,12/08/17,Brighton,Man City,0,2,A,0,0,D,M Oliver,6,14,2,4,6,9,3,10,0,2,0,0,11.0,5.5,1.33,9,4.2895,7.4737,1.4211,1.5526,10.1053,17.5000,0.8947,2.7895,1.4211,0.7105
2,E0,12/08/17,Chelsea,Burnley,2,3,A,0,3,A,C Pawson,19,10,6,5,16,11,8,5,3,3,2,0,1.25,6.5,15.0,9,6.0526,4.3947,1.1053,1.7105,15.9474,9.9474,1.6316,0.9474,1.0000,1.0263
3,E0,12/08/17,Crystal Palace,Huddersfield,0,3,A,0,2,A,J Moss,14,8,4,6,7,19,12,9,1,3,0,0,1.83,3.6,5.0,9,5.5263,4.3421,1.8947,1.6316,12.5263,9.5263,1.1842,0.7368,1.4474,1.5263
4,E0,12/08/17,Everton,Stoke,1,0,H,1,0,H,N Swarbrick,9,9,4,1,13,10,6,7,1,1,0,0,1.7,3.8,5.75,9,3.9474,3.5789,1.3421,1.6316,9.4474,10.1053,1.1579,0.9211,1.5263,1.7895
5,E0,12/08/17,Southampton,Swansea,0,0,D,0,0,D,M Jones,29,4,2,0,10,13,13,0,2,1,0,0,1.62,4.0,6.5,9,5.9737,3.9474,1.6579,1.3421,11.8421,8.8947,0.9737,0.7368,1.4737,1.4737
6,E0,12/08/17,Watford,Liverpool,3,3,D,2,1,H,A Taylor,9,14,4,5,14,8,3,3,0,3,0,0,6.0,4.2,1.62,9,4.8158,6.0526,1.6579,1.1579,11.5789,16.7895,1.1579,2.2105,1.6842,1.0000
7,E0,12/08/17,West Brom,Bournemouth,1,0,H,1,0,H,R Madley,16,9,6,2,15,3,8,2,3,1,0,0,2.4,3.3,3.3,9,4.6316,5.7368,1.9211,1.4474,9.9474,12.2368,0.8158,1.1842,1.4737,1.6053
8,E0,13/08/17,Man United,West Ham,4,0,H,1,0,H,M Atkinson,22,9,6,1,19,7,11,1,2,2,0,0,1.3,5.75,12.0,9,5.7895,4.2368,1.6842,1.9211,13.4737,9.7895,1.7895,1.2632,0.7368,1.7895
9,E0,13/08/17,Newcastle,Tottenham,0,2,A,0,0,D,A Marriner,6,18,3,6,6,10,5,7,1,2,1,0,5.5,4.0,1.7,9,4.3947,6.4737,1.3684,1.3158,11.8684,16.3947,1.0263,1.9474,1.2368,0.9474
10,E0,19/08/17,Bournemouth,Watford,0,2,A,0,0,D,R East,6,19,2,7,6,14,8,5,1,3,0,0,2.0,3.6,4.0,9,5.7368,4.8158,1.4474,1.6579,12.2368,11.5789,1.1842,1.1579,1.6053,1.6842
11,E0,19/08/17,Burnley,West Brom,0,1,A,0,0,D,M Atkinson,20,8,0,1,11,11,5,5,1,0,0,1,2.63,3.2,3.0,9,4.3947,4.6316,1.7105,1.9211,9.9474,9.9474,0.9474,0.8158,1.0263,1.4737
12,E0,19/08/17,Leicester,Brighton,2,0,H,1,0,H,L Probert,14,5,4,2,8,10,6,2,1,0,0,0,1.73,3.8,5.5,9,5.3421,4.2895,1.3684,1.4211,11.1316,10.1053,1.4737,0.8947,1.5789,1.4211
