,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
23,E0,25/08/2018,Liverpool,Brighton,1,0,H,1,0,H,C Kavanagh,22,6,8,2,8,14,8,5,1,1,0,0,1.16,8.5,19.0,10,6.5526,4.1053,1.0000,1.5789,15.1316,9.7632,2.3421,0.9211,0.5789,1.5789
24,E0,25/08/2018,Southampton,Leicester,1,2,A,0,0,D,J Moss,11,8,5,5,13,11,10,3,1,1,1,0,2.45,3.2,3.25,10,5.0789,5.5263,1.8684,1.5000,12.7105,13.5526,1.1842,1.3421,1.7105,1.2632
25,E0,25/08/2018,Wolves,Man City,1,1,D,0,0,D,M Atkinson,11,18,2,6,13,8,5,9,1,2,0,0,11.0,6.5,1.28,10,5.1316,7.8421,1.8947,1.1579,12.5526,17.9737,1.2368,2.5000,1.2105,0.6053
26,E0,26/08/2018,Fulham,Burnley,4,2,H,3,2,H,D Coote,25,12,12,2,11,8,6,4,2,1,0,0,2.0,3.4,4.33,10,4.2368,3.6842,1.7895,1.9737,11.9474,9.4737,0.8947,1.1842,2.1316,1.7895
27,E0,26/08/2018,Newcastle,Chelsea,1,2,A,0,0,D,P Tierney,6,15,2,3,16,8,4,5,3,1,0,0,5.75,4.0,1.66,10,4.7632,5.6579,1.5000,1.2895,11.7368,15.9737,1.1053,1.6579,1.2632,1.0263
28,E0,26/08/2018,Watford,Crystal Palace,2,1,H,0,0,D,A Taylor,13,9,5,3,14,11,6,3,4,2,0,0,2.6,3.25,3.0,10,4.6579,5.3947,2.0263,1.5263,11.5000,12.9737,1.3684,1.3421,1.5526,1.3947
29,E0,27/08/2018,Man United,Tottenham,0,3,A,0,0,D,C Pawson,23,9,5,5,11,16,5,2,2,4,0,0,2.62,3.3,2.9,10,5.2632,5.1053,1.9211,1.4737,13.8421,14.1316,1.7105,1.7632,1.4211,1.0263
30,E0,01/09/2018,Brighton,Fulham,2,2,D,0,1,A,L Probert,15,10,5,5,12,14,7,1,3,3,0,0,2.3,3.4,3.4,10,4.1053,4.2368,1.5789,1.7895,9.7632,11.9474,0.9211,0.8947,1.5789,2.1316
31,E0,01/09/2018,Chelsea,Bournemouth,2,0,H,0,0,D,L Mason,24,8,6,1,10,7,7,6,2,2,0,0,1.3,6.0,11.0,10,5.6579,5.0263,1.2895,1.5789,15.9737,11.7368,1.6579,1.4737,1.0263,1.8421
32,E0,01/09/2018,Crystal Palace,Southampton,0,2,A,0,0,D,M Atkinson,20,19,6,6,11,12,7,4,1,1,0,0,2.0,3.5,4.2,10,5.3947,5.0789,1.5263,1.8684,12.9737,12.7105,1.3421,1.1842,1.3947,1.7105
33,E0,01/09/2018,Everton,Huddersfield,1,1,D,1,1,D,S Attwell,11,9,1,6,13,14,4,3,3,3,0,0,1.53,4.2,7.5,10,5.6579,4.2632,1.4474,1.4474,13.1053,10.5263,1.4211,0.5789,1.2105,2.0000
34,E0,01/09/2018,Leicester,Liverpool,1,2,A,0,2,A,P Tierney,12,10,5,4,9,12,4,4,3,2,0,0,7.5,5.0,1.44,10,5.5263,6.5526,1.5000,1.0000,13.5526,15.1316,1.3421,2.3421,1.2632,0.5789
35,E0,01/09/2018,Man City,Newcastle,2,1,H,1,1,D,K Friend,24,3,8,2,5,13,4,0,0,0,0,0,1.11,11.0,26.0,10,7.8421,4.7632,1.1579,1.5000,17.9737,11.7368,2.5000,1.1053,0.6053,1.2632
36,E0,01/09/2018,West Ham,Wolves,0,1,A,0,0,D,C Kavanagh,13,15,3,6,10,11,4,4,2,1,0,0,2.6,3.4,2.87,10,4.9474,5.1316,1.5526,1.8947,11.6053,12.5526,1.3684,1.2368,1.4474,1.2105
37,E0,02/09/2018,Burnley,Man United,0,2,A,0,2,A,J Moss,9,21,2,9,7,13,2,5,2,3,0,1,6.0,3.75,1.7,10,3.6842,5.2632,1.9737,1.9211,9.4737,13.8421,1.1842,1.7105,1.7895,1.4211
38,E0,02/09/2018,Cardiff,Arsenal,2,3,A,1,1,D,A Taylor,14,17,3,11,12,14,3,9,3,4,0,0,6.5,4.33,1.57,10,4.4211,2.8684,1.7368,1.8947,10.9737,12.2895,0.8947,1.9211,1.8158,1.3421
39,E0,02/09/2018,Watford,Tottenham,2,1,H,0,0,D,A Marriner,7,11,3,2,9,8,3,10,2,1,0,0,5.5,4.2,1.64,10,4.6579,5.1053,2.0263,1.4737,11.5000,14.1316,1.3684,1.7632,1.5526,1.0263
