,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
0,E0,17/08/13,Arsenal,Aston Villa,1,3,A,1,1,D,A Taylor,16,9,4,4,15,18,4,3,4,5,1,0,1.44,4.75,8.0,5,5.5263,4.2895,1.3947,2.0526,13.7632,11.3421,1.7895,1.0263,1.0789,1.6053
1,E0,17/08/13,Liverpool,Stoke,1,0,H,1,0,H,M Atkinson,26,10,11,4,11,11,12,6,1,1,0,0,1.4,5.0,9.5,5,5.8947,4.3158,1.4211,1.8947,17.1316,11.2632,2.6579,1.1842,1.3158,1.3684
2,E0,17/08/13,Norwich,Everton,2,2,D,0,0,D,M Oliver,8,19,2,6,13,10,6,8,2,0,0,0,3.2,3.4,2.4,5,5.1842,6.6053,1.6316,1.4474,12.2895,14.7632,0.7368,1.6053,1.6316,1.0263
3,E0,17/08/13,Sunderland,Fulham,0,1,A,0,0,D,N Swarbrick,20,5,3,1,14,14,6,1,0,3,0,0,2.3,3.4,3.4,5,4.9474,5.1053,1.5526,1.5263,12.9211,11.3421,1.0789,1.0526,1.5789,2.2368
4,E0,17/08/13,Swansea,Man United,1,4,A,0,2,A,P Dowd,17,15,6,7,13,10,7,4,1,3,0,0,4.2,3.5,2.0,5,5.9474,5.6842,1.4474,1.7368,13.0526,13.8421,1.4211,1.6842,1.4211,1.1316
5,E0,17/08/13,West Brom,Southampton,0,1,A,0,0,D,K Friend,11,7,1,2,14,24,4,8,4,0,0,0,2.4,3.4,3.2,5,4.9211,5.5263,1.7632,1.5789,12.8158,14.0526,1.1316,1.4211,1.5526,1.2105
6,E0,17/08/13,West Ham,Cardiff,2,0,H,1,0,H,H Webb,18,12,4,1,10,7,4,3,0,1,0,0,2.0,3.6,4.0,5,4.8684,5.1579,1.6316,1.2895,11.1053,11.0000,1.0526,0.8421,1.3421,1.9474
7,E0,18/08/13,Chelsea,Hull,2,0,H,2,0,H,J Moss,22,7,5,2,7,16,5,1,0,1,0,0,1.2,7.0,21.0,5,6.5263,4.2105,1.5000,1.3947,18.2105,11.2368,1.8684,1.0000,0.7105,1.3947
8,E0,18/08/13,Crystal Palace,Tottenham,0,1,A,0,0,D,M Clattenburg,5,17,3,2,6,9,3,7,1,0,0,0,4.75,3.75,1.83,5,4.5263,6.0526,1.5263,1.7368,10.8947,15.4737,0.8684,1.4474,1.2632,1.3421
9,E0,19/08/13,Man City,Newcastle,4,0,H,2,0,H,A Marriner,20,5,11,1,9,7,8,1,2,3,0,1,1.33,5.5,11.0,5,7.4474,5.0000,1.8947,1.3947,17.7105,15.2368,2.6842,1.1316,0.9737,1.5526
10,E0,21/08/13,Chelsea,Aston Villa,2,1,H,1,1,D,K Friend,15,7,3,3,12,13,1,2,1,4,0,0,1.29,5.5,10.0,5,6.5263,4.2895,1.5000,2.0526,18.2105,11.3421,1.8684,1.0263,0.7105,1.6053
11,E0,24/08/13,Aston Villa,Liverpool,0,1,A,0,1,A,M Clattenburg,17,5,3,1,9,8,8,2,3,3,0,0,4.0,3.75,1.95,5,4.2895,5.8947,2.0526,1.4211,11.3421,17.1316,1.0263,2.6579,1.6053,1.3158
12,E0,24/08/13,Everton,West Brom,0,0,D,0,0,D,R East,22,7,8,2,14,15,11,1,1,1,0,0,1.57,4.33,6.5,5,6.6053,4.9211,1.4474,1.7632,14.7632,12.8158,1.6053,1.1316,1.0263,1.5526
13,E0,24/08/13,Fulham,Arsenal,1,3,A,0,2,A,H Webb,16,18,7,7,10,8,1,8,2,2,0,0,3.8,3.5,2.1,5,5.1053,5.5263,1.5263,1.3947,11.3421,13.7632,1.0526,1.7895,2.2368,1.0789
14,E0,24/08/13,Hull,Norwich,1,0,H,1,0,H,M Jones,6,13,1,4,14,19,1,5,1,1,1,0,2.45,3.4,3.1,5,4.2105,5.1842,1.3947,1.6316,11.2368,12.2895,1.0000,0.7368,1.3947,1.6316
15,E0,24/08/13,Newcastle,West Ham,0,0,D,0,0,D,P Dowd,16,6,0,1,12,14,5,4,0,1,0,0,2.3,3.4,3.4,5,5.0000,4.8684,1.3947,1.6316,15.2368,11.1053,1.1316,1.0526,1.5526,1.3421
16,E0,24/08/13,Southampton,Sunderland,1,1,D,0,1,A,L Mason,17,8,6,3,12,13,5,2,2,2,0,0,1.73,3.8,5.5,5,5.5263,4.9474,1.5789,1.5526,14.0526,12.9211,1.4211,1.0789,1.2105,1.5789
17,E0,24/08/13,Stoke,Crystal Palace,2,1,H,0,1,A,A Marriner,14,14,5,5,13,6,7,0,3,0,0,0,1.83,3.6,5.0,5,4.3158,4.5263,1.8947,1.5263,11.2632,10.8947,1.1842,0.8684,1.3684,1.2632
18,E0,25/08/13,Cardiff,Man City,3,2,H,0,0,D,L Probert,9,16,6,5,2,9,3,8,0,0,0,0,8.5,4.75,1.44,5,5.1579,7.4474,1.2895,1.8947,11.0000,17.7105,0.8421,2.6842,1.9474,0.9737
19,E0,25/08/13,Tottenham,Swansea,1,0,H,0,0,D,N Swarbrick,19,7,5,5,10,15,8,3,1,4,0,0,1.62,4.0,6.5,5,6.0526,5.9474,1.7368,1.4474,15.4737,13.0526,1.4474,1.4211,1.3421,1.4211
20,E0,26/08/13,Man United,Chelsea,0,0,D,0,0,D,M Atkinson,13,8,3,4,9,9,4,1,0,2,0,0,2.45,3.4,3.1,5,5.6842,6.5263,1.7368,1.5000,13.8421,18.2105,1.6842,1.8684,1.1316,0.7105
21,E0,31/08/13,Cardiff,Everton,0,0,D,0,0,D,A Taylor,4,13,1,3,11,9,4,5,1,1,0,0,3.25,3.4,2.38,5,5.1579,6.6053,1.2895,1.4474,11.0000,14.7632,0.8421,1.6053,1.9474,1.0263
22,E0,31/08/13,Crystal Palace,Sunderland,3,1,H,1,0,H,L Probert,17,10,6,2,6,6,6,6,1,0,0,1,2.6,3.3,3.0,5,4.5263,4.9474,1.5263,1.5526,10.8947,12.9211,0.8684,1.0789,1.2632,1.5789
23,E0,31/08/13,Man City,Hull,2,0,H,0,0,D,P Dowd,12,7,6,2,15,14,7,4,2,3,0,0,1.17,8.5,19.0,5,7.4474,4.2105,1.8947,1.3947,17.7105,11.2368,2.6842,1.0000,0.9737,1.3947
24,E0,31/08/13,Newcastle,Fulham,1,0,H,0,0,D,C Foy,24,3,9,2,13,9,13,2,2,2,0,0,2.15,3.4,3.75,5,5.0000,5.1053,1.3947,1.5263,15.2368,11.3421,1.1316,1.0526,1.5526,2.2368
25,E0,31/08/13,Norwich,Southampton,1,0,H,0,0,D,H Webb,15,11,4,2,11,15,5,5,0,0,0,0,3.0,3.3,2.55,5,5.1842,5.5263,1.6316,1.5789,12.2895,14.0526,0.7368,1.4211,1.6316,1.2105
26,E0,31/08/13,West Ham,Stoke,0,1,A,0,0,D,J Moss,9,15,0,5,10,12,3,4,2,1,0,0,2.0,3.4,4.33,5,4.8684,4.3158,1.6316,1.8947,11.1053,11.2632,1.0526,1.1842,1.3421,1.3684
27,E0,01/09/13,Arsenal,Tottenham,1,0,H,1,0,H,M Oliver,12,14,5,4,15,14,3,6,2,2,0,0,2.1,3.7,3.6,5,5.5263,6.0526,1.3947,1.7368,13.7632,15.4737,1.7895,1.4474,1.0789,1.3421
28,E0,01/09/13,Liverpool,Man United,1,0,H,1,0,H,A Marriner,10,10,5,4,15,15,2,7,2,4,0,0,2.63,3.4,2.88,5,5.8947,5.6842,1.4211,1.7368,17.1316,13.8421,2.6579,1.6842,1.3158,1.1316
29,E0,01/09/13,West Brom,Swansea,0,2,A,0,1,A,M Dean,10,12,1,4,10,14,2,3,4,3,0,0,2.7,3.4,2.8,5,4.9211,5.9474,1.7632,1.4474,12.8158,13.0526,1.1316,1.4211,1.5526,1.4211
30,E0,14/09/13,Aston Villa,Newcastle,1,2,A,0,1,A,M Dean,10,17,1,8,9,11,4,2,1,4,0,0,2.15,3.4,3.8,5,4.2895,5.0000,2.0526,1.3947,11.3421,15.2368,1.0263,1.1316,1.6053,1.5526
31,E0,14/09/13,Everton,Chelsea,1,0,H,1,0,H,H Webb,11,22,5,5,10,12,5,7,0,4,0,0,3.4,3.3,2.35,5,6.6053,6.5263,1.4474,1.5000,14.7632,18.2105,1.6053,1.8684,1.0263,0.7105
32,E0,14/09/13,Fulham,West Brom,1,1,D,1,0,H,L Probert,12,12,2,4,9,12,4,5,0,1,0,0,2.15,3.5,3.6,5,5.1053,4.9211,1.5263,1.7632,11.3421,12.8158,1.0526,1.1316,2.2368,1.5526
33,E0,14/09/13,Hull,Cardiff,1,1,D,1,0,H,R Madley,18,10,5,2,8,8,6,2,1,2,0,0,2.45,3.25,3.25,5,4.2105,5.1579,1.3947,1.2895,11.2368,11.0000,1.0000,0.8421,1.3947,1.9474
34,E0,14/09/13,Man United,Crystal Palace,2,0,H,1,0,H,J Moss,19,4,7,0,8,11,10,1,1,2,0,1,1.22,7.0,16.0,5,5.6842,4.5263,1.7368,1.5263,13.8421,10.8947,1.6842,0.8684,1.1316,1.2632
35,E0,14/09/13,Stoke,Man City,0,0,D,0,0,D,M Clattenburg,11,10,3,3,13,11,2,4,1,1,0,0,6.0,4.0,1.65,5,4.3158,7.4474,1.8947,1.8947,11.2632,17.7105,1.1842,2.6842,1.3684,0.9737
36,E0,14/09/13,Sunderland,Arsenal,1,3,A,0,1,A,M Atkinson,17,14,2,6,12,10,6,7,1,2,0,0,6.0,3.9,1.67,5,4.9474,5.5263,1.5526,1.3947,12.9211,13.7632,1.0789,1.7895,1.5789,1.0789
37,E0,14/09/13,Tottenham,Norwich,2,0,H,1,0,H,L Mason,23,4,7,1,2,12,8,1,1,3,0,0,1.45,4.75,8.0,5,6.0526,5.1842,1.7368,1.6316,15.4737,12.2895,1.4474,0.7368,1.3421,1.6316
38,E0,15/09/13,Southampton,West Ham,0,0,D,0,0,D,A Marriner,15,6,5,1,12,10,10,4,1,3,0,0,1.85,3.6,4.75,5,5.5263,4.8684,1.5789,1.6316,14.0526,11.1053,1.4211,1.0526,1.2105,1.3421
39,E0,16/09/13,Swansea,Liverpool,2,2,D,1,2,A,M Oliver,17,12,8,5,7,10,3,7,2,3,0,0,3.5,3.5,2.2,5,5.9474,5.8947,1.4474,1.4211,13.0526,17.1316,1.4211,2.6579,1.4211,1.3158
40,E0,21/09/13,Chelsea,Fulham,2,0,H,0,0,D,A Marriner,26,4,10,1,11,9,13,3,0,0,0,0,1.3,5.75,12.0,5,6.5263,5.1053,1.5000,1.5263,18.2105,11.3421,1.8684,1.0526,0.7105,2.2368
41,E0,21/09/13,Liverpool,Southampton,0,1,A,0,0,D,N Swarbrick,10,12,5,7,6,9,6,6,0,1,0,0,1.6,4.0,6.5,5,5.8947,5.5263,1.4211,1.5789,17.1316,14.0526,2.6579,1.4211,1.3158,1.2105
42,E0,21/09/13,Newcastle,Hull,2,3,A,2,1,H,M Atkinson,15,12,2,5,11,8,3,3,1,1,0,0,1.85,3.5,5.0,5,5.0000,4.2105,1.3947,1.3947,15.2368,11.2368,1.1316,1.0000,1.5526,1.3947
43,E0,21/09/13,Norwich,Aston Villa,0,1,A,0,1,A,C Foy,12,16,1,4,15,10,7,4,1,0,0,0,2.4,3.4,3.2,5,5.1842,4.2895,1.6316,2.0526,12.2895,11.3421,0.7368,1.0263,1.6316,1.6053
44,E0,21/09/13,West Brom,Sunderland,3,0,H,1,0,H,P Dowd,13,7,4,0,9,10,5,6,0,2,0,0,2.05,3.4,4.2,5,4.9211,4.9474,1.7632,1.5526,12.8158,12.9211,1.1316,1.0789,1.5526,1.5789
45,E0,21/09/13,West Ham,Everton,2,3,A,1,0,H,L Mason,9,10,1,4,16,12,5,5,2,1,1,0,3.3,3.3,2.4,5,4.8684,6.6053,1.6316,1.4474,11.1053,14.7632,1.0526,1.6053,1.3421,1.0263
46,E0,22/09/13,Arsenal,Stoke,3,1,H,2,1,H,M Dean,16,9,8,3,8,15,6,7,0,2,0,0,1.36,5.25,10.0,5,5.5263,4.3158,1.3947,1.8947,13.7632,11.2632,1.7895,1.1842,1.0789,1.3684
47,E0,22/09/13,Cardiff,Tottenham,0,1,A,0,0,D,M Clattenburg,6,29,0,12,5,7,2,12,1,4,0,0,4.5,3.6,1.91,5,5.1579,6.0526,1.2895,1.7368,11.0000,15.4737,0.8421,1.4474,1.9474,1.3421
48,E0,22/09/13,Crystal Palace,Swansea,0,2,A,0,1,A,K Friend,9,15,1,7,13,9,6,7,2,2,0,0,3.5,3.4,2.25,5,4.5263,5.9474,1.5263,1.4474,10.8947,13.0526,0.8684,1.4211,1.2632,1.4211
49,E0,22/09/13,Man City,Man United,4,1,H,2,0,H,H Webb,18,14,5,3,8,12,8,4,1,2,0,0,2.2,3.4,3.6,5,7.4474,5.6842,1.8947,1.7368,17.7105,13.8421,2.6842,1.6842,0.9737,1.1316
50,E0,28/09/13,Aston Villa,Man City,3,2,H,0,1,A,M Jones,8,20,4,7,13,9,2,13,1,1,0,0,6.5,4.2,1.57,5,4.2895,7.4474,2.0526,1.8947,11.3421,17.7105,1.0263,2.6842,1.6053,0.9737
51,E0,28/09/13,Fulham,Cardiff,1,2,A,1,1,D,C Pawson,9,22,5,4,14,13,11,10,1,1,0,0,2.1,3.4,3.9,5,5.1053,5.1579,1.5263,1.2895,11.3421,11.0000,1.0526,0.8421,2.2368,1.9474
52,E0,28/09/13,Hull,West Ham,1,0,H,1,0,H,K Friend,9,18,2,5,11,12,6,6,1,2,0,0,2.38,3.3,3.3,5,4.2105,4.8684,1.3947,1.6316,11.2368,11.1053,1.0000,1.0526,1.3947,1.3421
53,E0,28/09/13,Man United,West Brom,1,2,A,0,0,D,M Oliver,14,12,6,4,10,14,5,8,3,2,0,0,1.3,5.75,12.0,5,5.6842,4.9211,1.7368,1.7632,13.8421,12.8158,1.6842,1.1316,1.1316,1.5526
54,E0,28/09/13,Southampton,Crystal Palace,2,0,H,0,0,D,M Atkinson,12,8,3,0,11,12,8,2,1,2,0,0,1.45,4.5,8.5,5,5.5263,4.5263,1.5789,1.5263,14.0526,10.8947,1.4211,0.8684,1.2105,1.2632
55,E0,28/09/13,Swansea,Arsenal,1,2,A,0,0,D,M Clattenburg,10,10,3,4,5,11,4,3,3,2,0,0,3.2,3.4,2.38,5,5.9474,5.5263,1.4474,1.3947,13.0526,13.7632,1.4211,1.7895,1.4211,1.0789
56,E0,28/09/13,Tottenham,Chelsea,1,1,D,1,0,H,M Dean,12,11,4,5,14,14,4,5,5,1,0,1,2.7,3.3,2.88,5,6.0526,6.5263,1.7368,1.5000,15.4737,18.2105,1.4474,1.8684,1.3421,0.7105
57,E0,29/09/13,Stoke,Norwich,0,1,A,0,1,A,A Taylor,8,8,1,3,14,12,7,3,2,1,0,0,1.95,3.4,4.5,5,4.3158,5.1842,1.8947,1.6316,11.2632,12.2895,1.1842,0.7368,1.3684,1.6316
58,E0,29/09/13,Sunderland,Liverpool,1,3,A,0,2,A,H Webb,23,15,5,6,8,10,10,8,2,1,0,0,5.5,3.9,1.7,5,4.9474,5.8947,1.5526,1.4211,12.9211,17.1316,1.0789,2.6579,1.5789,1.3158
59,E0,30/09/13,Everton,Newcastle,3,2,H,3,0,H,P Dowd,18,15,7,6,5,15,1,1,3,1,0,0,1.65,4.0,6.0,5,6.6053,5.0000,1.4474,1.3947,14.7632,15.2368,1.6053,1.1316,1.0263,1.5526
60,E0,05/10/13,Cardiff,Newcastle,1,2,A,0,2,A,K Friend,8,20,2,10,11,8,3,3,1,0,0,0,2.45,3.4,3.1,5,5.1579,5.0000,1.2895,1.3947,11.0000,15.2368,0.8421,1.1316,1.9474,1.5526
61,E0,05/10/13,Fulham,Stoke,1,0,H,0,0,D,R East,9,16,2,3,11,13,7,5,3,2,0,0,2.4,3.3,3.3,5,5.1053,4.3158,1.5263,1.8947,11.3421,11.2632,1.0526,1.1842,2.2368,1.3684
62,E0,05/10/13,Hull,Aston Villa,0,0,D,0,0,D,M Clattenburg,6,18,1,4,7,11,7,7,2,1,0,0,2.45,3.3,3.2,5,4.2105,4.2895,1.3947,2.0526,11.2368,11.3421,1.0000,1.0263,1.3947,1.6053
63,E0,05/10/13,Liverpool,Crystal Palace,3,1,H,3,0,H,A Taylor,13,11,7,2,11,6,11,3,2,1,0,0,1.2,7.5,17.0,5,5.8947,4.5263,1.4211,1.5263,17.1316,10.8947,2.6579,0.8684,1.3158,1.2632
64,E0,05/10/13,Man City,Everton,3,1,H,2,1,H,J Moss,12,6,6,4,15,10,8,1,5,4,0,0,1.67,4.2,5.5,5,7.4474,6.6053,1.8947,1.4474,17.7105,14.7632,2.6842,1.6053,0.9737,1.0263
65,E0,05/10/13,Sunderland,Man United,1,2,A,1,0,H,C Foy,6,13,2,6,15,13,4,4,2,4,0,0,6.0,4.0,1.65,5,4.9474,5.6842,1.5526,1.7368,12.9211,13.8421,1.0789,1.6842,1.5789,1.1316
66,E0,06/10/13,Norwich,Chelsea,1,3,A,0,1,A,N Swarbrick,14,22,3,8,12,9,4,6,1,1,0,0,6.5,4.0,1.62,5,5.1842,6.5263,1.6316,1.5000,12.2895,18.2105,0.7368,1.8684,1.6316,0.7105
67,E0,06/10/13,Southampton,Swansea,2,0,H,1,0,H,M Dean,12,17,4,7,13,8,7,4,3,1,0,0,2.1,3.5,3.8,5,5.5263,5.9474,1.5789,1.4474,14.0526,13.0526,1.4211,1.4211,1.2105,1.4211
68,E0,06/10/13,Tottenham,West Ham,0,3,A,0,0,D,L Probert,14,16,4,5,5,9,6,7,0,0,0,0,1.44,4.75,8.5,5,6.0526,4.8684,1.7368,1.6316,15.4737,11.1053,1.4474,1.0526,1.3421,1.3421
69,E0,06/10/13,West Brom,Arsenal,1,1,D,1,0,H,L Mason,12,14,4,5,6,11,6,2,1,2,0,0,4.9,4.0,1.75,5,4.9211,5.5263,1.7632,1.3947,12.8158,13.7632,1.1316,1.7895,1.5526,1.0789
70,E0,19/10/13,Arsenal,Norwich,4,1,H,1,0,H,L Probert,20,12,11,6,8,7,10,1,0,0,0,0,1.29,6.0,12.0,5,5.5263,5.1842,1.3947,1.6316,13.7632,12.2895,1.7895,0.7368,1.0789,1.6316
