,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
0,E0,15/08/09,Aston Villa,Wigan,0,2,A,0,1,A,M Clattenburg,11,14,5,7,15,14,4,6,2,2,0,0,1.67,3.6,5.5,1,6.2105,4.7632,1.5526,1.7105,13.0789,14.6053,1.3684,0.9737,1.0263,2.0789
1,E0,15/08/09,Blackburn,Man City,0,2,A,0,1,A,M Dean,17,8,9,5,12,9,5,4,2,1,0,0,3.6,3.25,2.1,1,4.7632,6.2368,1.5000,1.2895,12.8684,13.8421,1.0789,1.9211,1.4474,1.1842
2,E0,15/08/09,Bolton,Sunderland,0,1,A,0,1,A,A Marriner,11,20,3,13,16,10,4,7,2,1,0,0,2.25,3.25,3.25,1,4.8158,4.7368,1.9474,2.0263,14.6842,11.6842,1.1053,1.2632,1.7632,1.4737
3,E0,15/08/09,Chelsea,Hull,2,1,H,1,1,D,A Wiley,26,7,12,3,13,15,12,4,1,2,0,0,1.17,6.5,21.0,1,7.5263,3.9474,1.4211,1.6842,21.9474,10.2105,2.7105,0.8947,0.8421,1.9737
4,E0,15/08/09,Everton,Arsenal,1,6,A,0,3,A,M Halsey,8,15,5,9,11,13,4,9,0,0,0,0,3.2,3.25,2.3,1,6.0526,6.7632,1.5000,1.4737,15.5000,17.3684,1.5789,2.1842,1.2895,1.0789
5,E0,15/08/09,Portsmouth,Fulham,0,1,A,0,1,A,M Atkinson,16,9,4,3,11,18,6,4,3,2,0,0,2.63,3.2,2.75,1,4.9737,4.6579,1.7895,1.2105,14.0263,12.1842,0.8947,1.0263,1.7368,1.2105
6,E0,15/08/09,Stoke,Burnley,2,0,H,2,0,H,S Bennett,12,9,5,5,15,10,3,6,2,2,0,0,1.91,3.3,4.33,1,4.7632,4.5789,1.6579,1.5000,10.5789,12.0789,0.8947,1.1053,1.2632,2.1579
7,E0,15/08/09,Wolves,West Ham,0,2,A,0,1,A,C Foy,19,16,11,13,9,5,8,6,0,0,0,0,2.63,3.3,2.7,1,5.3684,4.7368,1.6579,1.6316,11.4737,14.4474,0.8421,1.2368,1.4737,1.7368
8,E0,16/08/09,Man United,Birmingham,1,0,H,1,0,H,L Mason,26,6,17,4,13,7,13,2,1,1,0,0,1.2,6.0,17.0,1,7.8158,4.8947,1.2895,1.9474,18.2895,11.8947,2.2632,1.0000,0.7368,1.2368
9,E0,16/08/09,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd,17,6,11,3,14,16,6,5,3,3,0,0,3.2,3.25,2.3,1,6.3421,7.0526,1.5263,1.4474,17.9211,16.8947,1.7632,1.6053,1.0789,0.9211
10,E0,18/08/09,Sunderland,Chelsea,1,3,A,1,0,H,S Bennett,4,20,3,9,14,10,1,14,2,2,0,0,6.5,4.0,1.53,1,4.7368,7.5263,2.0263,1.4211,11.6842,21.9474,1.2632,2.7105,1.4737,0.8421
11,E0,18/08/09,Wigan,Wolves,0,1,A,0,1,A,M Jones,18,9,5,3,8,21,4,4,0,3,0,0,1.73,3.6,5.25,1,4.7632,5.3684,1.7105,1.6579,14.6053,11.4737,0.9737,0.8421,2.0789,1.4737
12,E0,19/08/09,Birmingham,Portsmouth,1,0,H,0,0,D,L Probert,9,9,5,4,11,20,4,5,0,5,0,0,2.0,3.3,4.0,1,4.8947,4.9737,1.9474,1.7895,11.8947,14.0263,1.0000,0.8947,1.2368,1.7368
13,E0,19/08/09,Burnley,Man United,1,0,H,1,0,H,A Wiley,8,18,2,9,8,12,1,12,2,1,0,0,9.5,5.0,1.33,1,4.5789,7.8158,1.5000,1.2895,12.0789,18.2895,1.1053,2.2632,2.1579,0.7368
