,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
0,E0,16/08/14,Arsenal,Crystal Palace,2,1,H,1,1,D,J Moss,14,4,6,2,13,19,9,3,2,2,0,1,1.25,6.5,15.0,6,6.6842,5.5000,1.7895,1.6579,16.0526,11.6053,1.8684,1.2368,0.9474,1.3421
1,E0,16/08/14,Leicester,Everton,2,2,D,1,2,A,M Jones,11,13,3,3,16,10,3,6,1,1,0,0,3.2,3.4,2.4,6,5.5526,5.1053,1.2895,1.7368,12.0000,12.7105,1.2105,1.2632,1.4474,1.3158
2,E0,16/08/14,Man United,Swansea,1,2,A,0,1,A,M Dean,14,5,5,4,14,20,4,0,2,4,0,0,1.36,5.0,11.0,6,5.6316,3.9737,1.6842,1.2632,13.4737,11.2105,1.6316,1.2105,0.9737,1.2895
3,E0,16/08/14,QPR,Hull,0,1,A,0,0,D,C Pawson,19,11,6,4,10,10,8,9,1,2,0,0,2.5,3.3,3.1,6,4.7105,4.4474,1.9737,1.9211,14.0526,11.2632,1.1053,0.8684,1.9211,1.3421
4,E0,16/08/14,Stoke,Aston Villa,0,1,A,0,0,D,A Taylor,12,7,2,2,14,9,2,8,0,3,0,0,1.95,3.5,4.5,6,5.1316,4.5000,2.1579,1.8421,13.1579,11.0000,1.2632,0.8158,1.1842,1.5000
5,E0,16/08/14,West Brom,Sunderland,2,2,D,1,1,D,N Swarbrick,10,7,5,2,18,9,6,3,3,1,0,0,2.25,3.4,3.5,6,4.5000,4.8947,1.6842,2.4737,10.8421,10.7368,1.0000,0.8158,1.3421,1.3947
6,E0,16/08/14,West Ham,Tottenham,0,1,A,0,0,D,C Foy,18,10,4,4,12,10,8,5,1,0,1,1,3.8,3.6,2.05,6,6.3421,5.8947,1.6842,2.0789,12.8421,13.8684,1.1579,1.5263,1.2368,1.3947
7,E0,17/08/14,Liverpool,Southampton,2,1,H,1,0,H,M Clattenburg,12,12,5,6,8,11,2,6,1,2,0,0,1.33,5.75,10.0,6,5.2105,5.4737,1.7368,1.5000,15.5263,13.3947,1.3684,1.4211,1.2632,0.8684
8,E0,17/08/14,Newcastle,Man City,0,2,A,0,1,A,M Atkinson,12,13,0,5,8,11,3,3,1,5,0,0,5.25,4.33,1.67,6,5.8421,7.2895,1.7105,2.0263,12.3158,17.6316,1.0526,2.1842,1.6579,1.0000
9,E0,18/08/14,Burnley,Chelsea,1,3,A,1,3,A,M Oliver,9,11,2,3,6,7,4,3,1,1,0,0,9.0,5.0,1.4,6,4.5000,5.9474,1.6842,1.9211,11.3158,14.8421,0.7368,1.9211,1.3947,0.8421
